name	en.wikipedia
Type	STRING
Prefix/BODY_CLASS_	
G_STAR	G-type_main-sequence_star
TERRESTRIAL_PLANET	Terrestrial_planet
GAS_GIANT	Gas_giant
ICE_GIANT	Ice_giant
DWARF_PLANET	Dwarf_planet
NATURAL_SATELLITE	Natural_satellite
C_ASTEROID	C-type_asteroid
S_ASTEROID	S-type_asteroid
M_ASTEROID	M-type_asteroid
V_ASTEROID	V-type_asteroid
COMET	Comet
SPACECRAFT	Spacecraft
#	
